Timestamp,Corrected.Gaze.X,Corrected.Gaze.Y,Fixation.Start,Fixation.End,Fixation.Duration,Corrected.Fixation.X,Corrected.Fixation.Y
138287,881,795.5,138108.1813,138424.8325,316.651199999993,867.368421052632,806.618421052632
138296,872,801,138108.1813,138424.8325,316.651199999993,867.368421052632,806.618421052632
138304,864,798.5,138108.1813,138424.8325,316.651199999993,867.368421052632,806.618421052632
138312,874,803.5,138108.1813,138424.8325,316.651199999993,867.368421052632,806.618421052632
138321,864.5,810,138108.1813,138424.8325,316.651199999993,867.368421052632,806.618421052632
138329,874,801.5,138108.1813,138424.8325,316.651199999993,867.368421052632,806.618421052632
138337,880,800.5,138108.1813,138424.8325,316.651199999993,867.368421052632,806.618421052632
138346,862.5,802.5,138108.1813,138424.8325,316.651199999993,867.368421052632,806.618421052632
138354,879.5,810,138108.1813,138424.8325,316.651199999993,867.368421052632,806.618421052632
138362,878,815,138108.1813,138424.8325,316.651199999993,867.368421052632,806.618421052632
138371,883.5,806,138108.1813,138424.8325,316.651199999993,867.368421052632,806.618421052632
138379,867,805,138108.1813,138424.8325,316.651199999993,867.368421052632,806.618421052632
138387,877.5,804,138108.1813,138424.8325,316.651199999993,867.368421052632,806.618421052632
138396,872.5,794,138108.1813,138424.8325,316.651199999993,867.368421052632,806.618421052632
138404,860,800,138108.1813,138424.8325,316.651199999993,867.368421052632,806.618421052632
138412,863.5,799.5,138108.1813,138424.8325,316.651199999993,867.368421052632,806.618421052632
138421,863,804,138108.1813,138424.8325,316.651199999993,867.368421052632,806.618421052632
138429,868,776.5,,,,,
138437,870,560,,,,,
138446,841,372,,,,,
138454,803.5,283.5,,,,,
138462,800,261,138458.2013,138774.8381,316.636799999978,786.556730034324,284.266729566452
138471,808,307.5,138458.2013,138774.8381,316.636799999978,786.556730034324,284.266729566452
138479,799.5,275.5,138458.2013,138774.8381,316.636799999978,786.556730034324,284.266729566452
138487,800.5,281,138458.2013,138774.8381,316.636799999978,786.556730034324,284.266729566452
138496,792.5,279,138458.2013,138774.8381,316.636799999978,786.556730034324,284.266729566452
138504,806.5,304.5,138458.2013,138774.8381,316.636799999978,786.556730034324,284.266729566452
138512,797.5,304.5,138458.2013,138774.8381,316.636799999978,786.556730034324,284.266729566452
138521,802,286.5,138458.2013,138774.8381,316.636799999978,786.556730034324,284.266729566452
138529,794.5,293.5,138458.2013,138774.8381,316.636799999978,786.556730034324,284.266729566452
138537,792.5,302.5,138458.2013,138774.8381,316.636799999978,786.556730034324,284.266729566452
138546,800,293.5,138458.2013,138774.8381,316.636799999978,786.556730034324,284.266729566452
138554,800,299,138458.2013,138774.8381,316.636799999978,786.556730034324,284.266729566452
138562,793,299.5,138458.2013,138774.8381,316.636799999978,786.556730034324,284.266729566452
138571,789,301.5,138458.2013,138774.8381,316.636799999978,786.556730034324,284.266729566452
138579,778.5,290.5,138458.2013,138774.8381,316.636799999978,786.556730034324,284.266729566452
138587,777,289,138458.2013,138774.8381,316.636799999978,786.556730034324,284.266729566452
138596,773,265.5,138458.2013,138774.8381,316.636799999978,786.556730034324,284.266729566452
138604,765.5,249,138458.2013,138774.8381,316.636799999978,786.556730034324,284.266729566452
138612,762.5,242.5,138458.2013,138774.8381,316.636799999978,786.556730034324,284.266729566452
138621,787.5,274,138458.2013,138774.8381,316.636799999978,786.556730034324,284.266729566452
138629,783.5,273.5,138458.2013,138774.8381,316.636799999978,786.556730034324,284.266729566452
138637,770.5,295.5,138458.2013,138774.8381,316.636799999978,786.556730034324,284.266729566452
138646,775,292,138458.2013,138774.8381,316.636799999978,786.556730034324,284.266729566452
138654,787,289.5,138458.2013,138774.8381,316.636799999978,786.556730034324,284.266729566452
138662,787.5,268,138458.2013,138774.8381,316.636799999978,786.556730034324,284.266729566452
138671,789,284,138458.2013,138774.8381,316.636799999978,786.556730034324,284.266729566452
138679,792,266,138458.2013,138774.8381,316.636799999978,786.556730034324,284.266729566452
138687,787.5,272,138458.2013,138774.8381,316.636799999978,786.556730034324,284.266729566452
138696,763.5,273.5,138458.2013,138774.8381,316.636799999978,786.556730034324,284.266729566452
138704,788.5,273,138458.2013,138774.8381,316.636799999978,786.556730034324,284.266729566452
138712,792,277.5,138458.2013,138774.8381,316.636799999978,786.556730034324,284.266729566452
138721,779.5,299.5,138458.2013,138774.8381,316.636799999978,786.556730034324,284.266729566452
138729,782.5,294,138458.2013,138774.8381,316.636799999978,786.556730034324,284.266729566452
138737,774.5,299,138458.2013,138774.8381,316.636799999978,786.556730034324,284.266729566452
138746,768.5,291.5,138458.2013,138774.8381,316.636799999978,786.556730034324,284.266729566452
138754,777.5,277,138458.2013,138774.8381,316.636799999978,786.556730034324,284.266729566452
138762,770.5,260.5,138458.2013,138774.8381,316.636799999978,786.556730034324,284.266729566452
138771,788,287.5,138458.2013,138774.8381,316.636799999978,786.556730034324,284.266729566452
138779,791.5,259,,,,,
138787,740.5,214,,,,,
138796,689,142,,,,,
138804,696,116,,,,,
138812,691,136,,,,,
138821,699.5,139,,,,,
138829,690.5,134,,,,,
138837,691,141,,,,,
138846,705.5,143.5,,,,,
138854,708,131,,,,,
138862,702.5,130.5,,,,,
138871,694.5,80,,,,,
138879,681,80.5,,,,,
138887,682.5,87.5,,,,,
138896,694.5,90.5,,,,,
138904,692.5,88,,,,,
138912,698.5,86,,,,,
138921,686,87.5,,,,,
138929,685,104.5,,,,,
138937,687,114,,,,,
138946,741.5,68,,,,,
138954,759.5,59,138949.8613,139224.8805,275.01920000001,754.058335682382,79.058305091633
